Item Identifier,Item Fat Content,Item Type,Outlet Identifier,Outlet Size,Outlet Location Type,Outlet Type,Outlet Establishment Year
FDA15,Low Fat,Dairy,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRC01,Regular,Soft Drinks,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDN15,Low Fat,Meat,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDX07,Regular,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998
NCD19,Low Fat,Household,OUT013,High,Tier 3,Supermarket Type1,1987
FDP36,Regular,Baking Goods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDO10,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDP10,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDH17,Regular,Frozen Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDU28,Regular,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDY07,Low Fat,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDA03,Regular,Dairy,OUT046,Small,Tier 1,Supermarket Type1,1997
FDX32,Regular,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDS46,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDF32,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
FDP49,Regular,Breakfast,OUT046,Small,Tier 1,Supermarket Type1,1997
NCB42,Low Fat,Health and Hygiene,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDP49,Regular,Breakfast,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRI11,Low Fat,Hard Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDU02,Low Fat,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
FDN22,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDW12,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCB30,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
FDC37,Low Fat,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985
FDR28,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
NCD06,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
FDV10,Regular,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
DRJ59,low fat,Hard Drinks,OUT013,High,Tier 3,Supermarket Type1,1987
FDE51,Regular,Dairy,OUT010,-,Tier 3,Grocery Store,1998
FDC14,Regular,Canned,OUT019,Small,Tier 1,Grocery Store,1985
FDV38,Low Fat,Dairy,OUT010,-,Tier 3,Grocery Store,1998
NCS17,Low Fat,Health and Hygiene,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDP33,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDO23,Low Fat,Breads,OUT045,-,Tier 2,Supermarket Type1,2002
DRH01,Low Fat,Soft Drinks,OUT046,Small,Tier 1,Supermarket Type1,1997
NCX29,Low Fat,Health and Hygiene,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDV20,Regular,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
DRZ11,Regular,Soft Drinks,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDX10,Regular,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDB34,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDU02,Low Fat,Dairy,OUT046,Small,Tier 1,Supermarket Type1,1997
FDK43,Low Fat,Meat,OUT013,High,Tier 3,Supermarket Type1,1987
FDA46,Low Fat,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDC02,Low Fat,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDL50,Regular,Canned,OUT013,High,Tier 3,Supermarket Type1,1987
FDM39,LF,Dairy,OUT010,-,Tier 3,Grocery Store,1998
NCP05,Low Fat,Health and Hygiene,OUT045,-,Tier 2,Supermarket Type1,2002
FDV49,Low Fat,Canned,OUT045,-,Tier 2,Supermarket Type1,2002
FDL12,Regular,Baking Goods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDS02,Regular,Dairy,OUT019,Small,Tier 1,Grocery Store,1985
NCL17,Low Fat,Health and Hygiene,OUT046,Small,Tier 1,Supermarket Type1,1997
FDM40,Low Fat,Frozen Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDR13,Regular,Canned,OUT013,High,Tier 3,Supermarket Type1,1987
FDA43,Low Fat,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
NCP18,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
FDK21,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCX54,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
DRK35,Low Fat,Hard Drinks,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDY21,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDI26,Low Fat,Canned,OUT019,Small,Tier 1,Grocery Store,1985
FDM20,Low Fat,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDV27,Regular,Meat,OUT045,-,Tier 2,Supermarket Type1,2002
FDF09,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDY40,Regular,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDY45,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDC46,LF,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998
FDH19,Low Fat,Meat,OUT035,Small,Tier 2,Supermarket Type1,2004
FDZ03,Regular,Dairy,OUT045,-,Tier 2,Supermarket Type1,2002
