Item Identifier,Item Fat Content,Item Type,Outlet Identifier,Outlet Size,Outlet Location Type,Outlet Type,Outlet Establishment Year,Item Weight,Item Visibility,Item MRP,Item Outlet Sales
FDX07,Regular,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,19.2,0,182.095,732.38
FDC37,Low Fat,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.057556998,107.6938,214.3876
FDE51,Regular,Dairy,OUT010,-,Tier 3,Grocery Store,1998,5.925,0.161466534,45.5086,178.4344
FDC14,Regular,Canned,OUT019,Small,Tier 1,Grocery Store,1985,0,0.072221801,43.6454,125.8362
FDV38,Low Fat,Dairy,OUT010,-,Tier 3,Grocery Store,1998,19.25,0.170348551,55.7956,163.7868
FDM39,LF,Dairy,OUT010,-,Tier 3,Grocery Store,1998,6.42,0.089498926,178.1002,358.2004
FDS02,Regular,Dairy,OUT019,Small,Tier 1,Grocery Store,1985,0,0.255394896,196.8794,780.3176
FDI26,Low Fat,Canned,OUT019,Small,Tier 1,Grocery Store,1985,0,0.061082177,180.0344,892.172
FDY40,Regular,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.15028599,51.0692,147.8076
FDC46,LF,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,17.7,0.195068226,185.4266,184.4266
FDN48,Low Fat,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.113720344,89.9804,643.1628
NCL18,Low Fat,Household,OUT019,Small,Tier 1,Grocery Store,1985,0,0.293417759,194.6136,583.2408
FDW20,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,20.75,0.040421193,122.173,369.519
FDU04,Low Fat,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.009714595,120.0414,487.3656
DRE60,low fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985,0,0.278974075,225.372,679.116
FDW39,Regular,Meat,OUT019,Small,Tier 1,Grocery Store,1985,0,0.064625342,176.937,176.437
FDB14,Regular,Canned,OUT010,-,Tier 3,Grocery Store,1998,20.25,0.171938781,92.512,186.424
FDS52,Low Fat,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998,8.89,0.009163216,101.7016,101.2016
NCN07,Low Fat,Others,OUT010,-,Tier 3,Grocery Store,1998,18.5,0.056816465,132.1284,263.6568
FDI32,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,17.7,0.291865402,115.1834,345.5502
FDR47,LF,Breads,OUT010,-,Tier 3,Grocery Store,1998,17.85,0,196.5794,585.2382
NCU05,Low Fat,Health and Hygiene,OUT010,-,Tier 3,Grocery Store,1998,11.8,0.098312421,81.4618,161.1236
DRY23,Regular,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985,0,0.191013663,42.1112,42.6112
NCO17,Low Fat,Health and Hygiene,OUT019,Small,Tier 1,Grocery Store,1985,0,0.128478462,117.944,239.688
FDO08,Regular,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985,0,0.09415375,165.7526,657.8104
FDF24,Regular,Baking Goods,OUT010,-,Tier 3,Grocery Store,1998,15.5,0.042464962,81.5934,327.5736
FDS45,Regular,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.051643608,107.3622,317.5866
FDX40,Low Fat,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998,12.85,0.165694219,39.7164,231.6984
NCZ54,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998,14.65,0,161.5552,324.9104
FDE10,Regular,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,6.67,0.150554711,130.0626,131.1626
FDR44,Regular,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,6.11,0,131.2968,260.9936
FDP28,Regular,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998,13.65,0.134975628,260.0936,260.9936
NCO07,Low Fat,Others,OUT019,Small,Tier 1,Grocery Store,1985,0,0.017116983,211.956,213.056
DRF27,Low Fat,Dairy,OUT019,Small,Tier 1,Grocery Store,1985,0,0.049754975,152.134,153.134
FDS46,Regular,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.082741482,118.7782,119.1782
DRF15,Low Fat,Dairy,OUT019,Small,Tier 1,Grocery Store,1985,0,0.058153409,152.034,306.268
FDQ04,Low Fat,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985,0,0.148392623,41.5796,41.2796
FDK21,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998,7.905,0.016758569,250.4408,500.6816
FDJ08,Low Fat,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985,0,0.193772568,190.3846,573.2538
FDE08,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998,18.2,0.082551042,147.3734,296.9468
