Item Identifier,Item Fat Content,Item Type,Outlet Identifier,Outlet Size,Outlet Location Type,Outlet Type,Outlet Establishment Year,Item Weight,Item Visibility,Item MRP,Item Outlet Sales
FDA15,Low Fat,Dairy,OUT049,Medium,Tier 1,Supermarket Type1,1999,9.3,0.016047301,249.8092,3735.138
FDN15,Low Fat,Meat,OUT049,Medium,Tier 1,Supermarket Type2,1999,17.5,0.016760075,141.618,2097.27
NCD19,Low Fat,Household,OUT013,High,Tier 3,Supermarket Type3,1987,8.93,0,53.8614,994.7052
FDO10,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type4,1987,13.65,0.012741089,57.6588,343.5528
FDH17,Regular,Frozen Foods,OUT045,-,Tier 2,Supermarket Type5,2002,16.2,0.016687114,96.9726,1076.5986
FDU28,Regular,Frozen Foods,OUT017,-,Tier 2,Supermarket Type6,2007,19.2,0.09444959,187.8214,4710.535
FDY07,Low Fat,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type7,1999,11.8,0,45.5402,1516.0266
FDA03,Regular,Dairy,OUT046,Small,Tier 1,Supermarket Type8,1997,18.5,0.045463773,144.1102,2187.153
FDX32,Regular,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type9,1999,15.1,0.1000135,145.4786,1589.2646
FDS46,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type10,1997,17.6,0.047257328,119.6782,2145.2076
FDF32,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type11,1987,16.35,0.0680243,196.4426,1977.426
FDP49,Regular,Breakfast,OUT046,Small,Tier 1,Supermarket Type12,1997,9,0.069088961,56.3614,1547.3192
FDP49,Regular,Breakfast,OUT049,Medium,Tier 1,Supermarket Type13,1999,9,0.069196376,54.3614,718.3982
FDU02,Low Fat,Dairy,OUT035,Small,Tier 2,Supermarket Type14,2004,13.35,0.10249212,230.5352,2748.4224
FDN22,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type15,1987,18.85,0.138190277,250.8724,3775.086
NCB30,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type16,2004,14.6,0.025698134,196.5084,1587.2672
FDR28,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type17,1997,13.85,0.025896485,165.021,4078.025
NCD06,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type18,2007,13,0.099887103,45.906,838.908
FDV10,Regular,Snack Foods,OUT035,Small,Tier 2,Supermarket Type19,2004,7.645,0.066693437,42.3112,1065.28
DRJ59,low fat,Hard Drinks,OUT013,High,Tier 3,Supermarket Type20,1987,11.65,0.019356132,39.1164,308.9312
FDO23,Low Fat,Breads,OUT045,-,Tier 2,Supermarket Type21,2002,17.85,0,93.1436,2174.5028
DRH01,Low Fat,Soft Drinks,OUT046,Small,Tier 1,Supermarket Type22,1997,17.5,0.097904029,174.8738,2085.2856
NCX29,Low Fat,Health and Hygiene,OUT049,Medium,Tier 1,Supermarket Type23,1999,10,0.089291137,146.7102,3791.0652
FDU02,Low Fat,Dairy,OUT046,Small,Tier 1,Supermarket Type24,1997,13.35,0.102511504,230.6352,3435.528
FDK43,Low Fat,Meat,OUT013,High,Tier 3,Supermarket Type25,1987,9.8,0.02681843,126.002,2150.534
FDA46,Low Fat,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type26,1999,13.6,0.117818348,192.9136,2527.3768
FDL50,Regular,Canned,OUT013,High,Tier 3,Supermarket Type27,1987,12.15,0.042277867,126.5046,373.5138
NCP05,Low Fat,Health and Hygiene,OUT045,-,Tier 2,Supermarket Type28,2002,19.6,0,153.3024,2428.8384
FDV49,Low Fat,Canned,OUT045,-,Tier 2,Supermarket Type29,2002,10,0.025879577,265.2226,5815.0972
FDL12,Regular,Baking Goods,OUT046,Small,Tier 1,Supermarket Type30,1997,15.85,0.121632721,60.622,2576.646
NCL17,Low Fat,Health and Hygiene,OUT046,Small,Tier 1,Supermarket Type31,1997,7.39,0.067779712,143.8812,3134.5864
FDM40,Low Fat,Frozen Foods,OUT013,High,Tier 3,Supermarket Type32,1987,10.195,0.159803853,141.5154,850.8924
FDR13,Regular,Canned,OUT013,High,Tier 3,Supermarket Type33,1987,9.895,0.028696932,117.0492,810.9444
FDA43,Low Fat,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type34,2007,10.895,0.065041581,196.3794,3121.2704
NCP18,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type35,2007,12.15,0.028760013,151.4708,4815.0656
NCX54,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type36,2002,9.195,0.048157338,106.1622,2117.244
DRK35,Low Fat,Hard Drinks,OUT049,Medium,Tier 1,Supermarket Type37,1999,8.365,0.071958197,38.0506,796.9626
FDY21,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type38,1997,15.1,0.173481304,194.511,4910.275
FDV27,Regular,Meat,OUT045,-,Tier 2,Supermarket Type39,2002,7.97,0.040071131,87.3514,1062.6168
FDH19,Low Fat,Meat,OUT035,Small,Tier 2,Supermarket Type40,2004,19.35,0.033082215,172.5738,4865.6664
FDZ03,Regular,Dairy,OUT045,-,Tier 2,Supermarket Type41,2002,13.65,0.078946455,186.024,1118.544
DRH37,Low Fat,Soft Drinks,OUT045,-,Tier 2,Supermarket Type42,2002,17.6,0.041700756,164.8526,2302.3364
NCI17,Low Fat,Health and Hygiene,OUT046,Small,Tier 1,Supermarket Type43,1997,8.645,0.143422643,95.841,2027.361
FDJ58,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type44,1997,15.6,0.105296072,170.1764,3435.528
FDL12,Regular,Baking Goods,OUT013,High,Tier 3,Supermarket Type45,1987,15.85,0.121531501,59.222,599.22
FDH35,Low Fat,Starchy Foods,OUT045,-,Tier 2,Supermarket Type46,2002,18.25,0,164.7526,4604.6728
FDG02,Low Fat,Canned,OUT017,-,Tier 2,Supermarket Type47,2007,7.855,0.011324862,189.6188,2285.0256
NCZ18,low fat,Household,OUT049,Medium,Tier 1,Supermarket Type48,1999,7.825,0.186357148,254.3698,5580.7356
FDC29,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type49,1997,8.39,0.024205661,114.0176,2290.352
FDQ10,Low Fat,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type50,1999,12.85,0.033230816,172.3422,1207.0954
FDL04,Low Fat,Frozen Foods,OUT017,-,Tier 2,Supermarket Type51,2007,19,0.112556507,104.9622,1587.933
FDV25,Low Fat,Canned,OUT045,-,Tier 2,Supermarket Type52,2002,5.905,0,222.5456,5305.0944
FDD58,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type53,1997,7.76,0.059352241,101.87,1697.79
FDN04,reg,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type54,1997,11.8,0.014087057,180.3344,1427.4752
FDG20,Regular,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type55,2007,15.5,0.12639886,177.0028,2479.4392
FDZ55,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type56,2004,6.055,0.025403898,160.992,2716.464
FDN33,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type57,1997,6.305,0.123115764,95.6436,661.8052
FDN27,Low Fat,Meat,OUT049,Medium,Tier 1,Supermarket Type58,1999,20.85,0.039624006,117.2808,1523.3504
DRG27,Low Fat,Dairy,OUT049,Medium,Tier 1,Supermarket Type59,1999,8.895,0.105274111,39.9138,690.4346
DRI25,Low Fat,Soft Drinks,OUT045,-,Tier 2,Supermarket Type60,2002,19.6,0.033970195,55.1614,1381.535
FDA44,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type61,2004,19.7,0.053212652,57.893,622.523
NCR17,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type62,2004,9.8,0.024378706,114.5492,1274.3412
FDF41,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type63,1999,12.15,0.131383762,246.046,1231.73
FDB56,Regular,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type64,2004,8.75,0.07461309,187.4556,3755.112
FDB56,Regular,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type65,1997,8.75,0.074627201,187.8556,1314.2892
FDT28,Low Fat,Frozen Foods,OUT045,-,Tier 2,Supermarket Type66,2002,13.3,0.063695084,151.0708,1805.6496
FDW57,Regular,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type67,1999,8.31,0.115857223,179.1028,3896.2616
DRB48,Regular,Soft Drinks,OUT013,High,Tier 3,Supermarket Type68,1987,16.75,0.024832806,38.7822,667.7974
FDH14,Regular,Canned,OUT013,High,Tier 3,Supermarket Type69,1987,17.1,0.0467696,141.1838,2247.7408
FDA47,Regular,Baking Goods,OUT013,High,Tier 3,Supermarket Type70,1987,10.5,0.116576702,163.121,1794.331
FDG12,Regular,Baking Goods,OUT045,-,Tier 2,Supermarket Type71,2002,6.635,0,121.3098,2530.7058
DRK49,Low Fat,Soft Drinks,OUT013,High,Tier 3,Supermarket Type72,1987,14.15,0.035913805,41.4138,812.276
FDD03,Low Fat,Dairy,OUT046,Small,Tier 1,Supermarket Type73,1997,13.3,0.079806266,232.53,699.09
FDS52,low fat,Frozen Foods,OUT017,-,Tier 2,Supermarket Type74,2007,8.89,0.005505481,102.4016,2732.4432
FDV11,Regular,Breads,OUT045,-,Tier 2,Supermarket Type75,2002,9.1,0,173.2054,3151.8972
FDD17,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type76,1999,7.5,0.032677678,239.0906,5942.265
FDZ16,Regular,Frozen Foods,OUT017,-,Tier 2,Supermarket Type77,2007,16.85,0.160760054,192.4478,4843.695
FDZ46,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type78,2004,7.485,0.06911065,109.0228,2542.0244
DRA12,Low Fat,Soft Drinks,OUT017,-,Tier 2,Supermarket Type79,2007,11.6,0.041177505,140.3154,2552.6772
NCF19,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type80,2007,13,0.035307322,47.5034,680.4476
DRJ13,LF,Soft Drinks,OUT045,-,Tier 2,Supermarket Type81,2002,12.65,0.063017847,159.0578,2085.9514
FDJ38,Regular,Canned,OUT035,Small,Tier 2,Supermarket Type82,2004,8.6,0.040197932,190.153,3036.048
FDW11,Low Fat,Breads,OUT017,-,Tier 2,Supermarket Type83,2007,12.6,0.049058014,62.7194,866.8716
FDL40,Low Fat,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type84,2004,17.7,0.01161096,95.041,868.869
DRI49,Low Fat,Soft Drinks,OUT046,Small,Tier 1,Supermarket Type85,1997,14.15,0.183507295,82.4276,1137.1864
FDV38,Low Fat,Dairy,OUT017,-,Tier 2,Supermarket Type86,2007,19.25,0.102349519,52.7956,928.1252
DRG23,Low Fat,Hard Drinks,OUT013,High,Tier 3,Supermarket Type87,1987,8.88,0.086708987,151.7682,762.341
NCP30,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type88,2002,20.5,0.032835147,40.2822,707.0796
NCH54,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type89,1997,13.5,0.07266912,160.292,1438.128
NCO26,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type90,1997,7.235,0.076855628,116.0492,1969.4364
FDB51,Low Fat,Dairy,OUT045,-,Tier 2,Supermarket Type91,2002,6.92,0.038532062,60.5852,1314.2892
FDX44,Low Fat,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type92,2007,9.3,0.043209581,90.8172,535.3032
NCC31,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type93,2004,8.02,0.019866705,154.5972,1402.1748
NCX54,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type94,2007,9.195,0.048331717,105.1622,1693.7952
NCO55,Low Fat,Others,OUT045,-,Tier 2,Supermarket Type95,2002,12.8,0.091221855,105.5938,2143.876
NCC30,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type96,1999,16.6,0.027622076,177.6344,2676.516
FDI16,Regular,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type97,2004,14,0,53.064,905.488
