,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
1890,1891,108.0,1.0,USA,25000000.0,70625986.0,168717,178.0,245.0,24000,425.0,20000.0,962.0,766.0,22739,6.2,Good
4243,4244,100.0,0.0,USA,2100000.0,,6,1.0,1.0,14,0.0,749.0,354.0,338.0,1814,6.7,Good
2551,2552,60.0,0.0,USA,,,7210,57.0,3.0,0,,1000.0,921.0,762.0,4561,6.6,Good
4926,4927,108.0,2.0,USA,,,6025,28.0,48.0,0,14.0,2000.0,1000.0,826.0,4385,5.8,Fair
2892,2893,90.0,0.0,Australia,13000000.0,28399192.0,5663,106.0,61.0,332,0.0,477.0,238.0,234.0,1483,5.4,Fair
1845,1846,107.0,3.0,UK,26000000.0,45506619.0,225102,862.0,197.0,16000,0.0,1000.0,596.0,577.0,3066,7.8,Good
1997,1998,92.0,2.0,USA,25000000.0,1550000.0,30628,471.0,143.0,937,892.0,783.0,595.0,492.0,2930,2.9,Bad
4223,4224,90.0,0.0,USA,2300000.0,,19650,62.0,17.0,0,115.0,11000.0,516.0,385.0,12359,7.3,Good
2332,2333,122.0,0.0,USA,10000000.0,531009.0,7976,61.0,131.0,0,11000.0,11000.0,11000.0,188.0,22319,5.3,Fair
2390,2391,97.0,3.0,USA,18000000.0,150056505.0,216581,397.0,351.0,21000,89.0,920.0,798.0,329.0,2771,6.4,Good
4197,4198,34.0,0.0,USA,34000.0,333658.0,97,2.0,1.0,16,19.0,882.0,577.0,362.0,1967,7.1,Good
2087,2088,240.0,0.0,UK,22000000.0,,171726,256.0,95.0,12000,0.0,545.0,429.0,249.0,1943,8.1,Excellent
4887,4888,92.0,0.0,UK,,104792.0,84817,145.0,225.0,22000,0.0,27000.0,161.0,146.0,27507,7.1,Good
2200,2201,105.0,1.0,USA,20000000.0,35596227.0,79461,463.0,333.0,10000,210.0,978.0,191.0,101.0,1454,6.3,Good
2125,2126,116.0,0.0,USA,22000000.0,11326836.0,83171,231.0,288.0,17000,108.0,23000.0,820.0,120.0,24134,6.8,Good
1538,1539,98.0,2.0,USA,,17225675.0,62198,139.0,163.0,0,136.0,1000.0,945.0,833.0,4151,5.6,Fair
3514,3515,99.0,0.0,USA,7000000.0,1654367.0,18355,106.0,117.0,3000,60.0,4000.0,787.0,628.0,6526,6.4,Good
867,868,122.0,2.0,UK,55000000.0,41609593.0,145422,572.0,149.0,0,287.0,22000.0,2000.0,135.0,24270,7.3,Good
898,899,121.0,0.0,USA,54000000.0,5660084.0,41620,418.0,131.0,2000,102.0,117.0,62.0,43.0,286,2.4,Bad
3778,3779,94.0,0.0,Spain,5000000.0,1082044.0,281649,458.0,204.0,21000,122.0,23000.0,1000.0,360.0,24994,7.7,Good
3503,3504,94.0,1.0,Australia,6000000.0,6165429.0,23486,249.0,74.0,0,176.0,116.0,93.0,46.0,312,7.5,Good
1524,1525,101.0,0.0,USA,33000000.0,51758599.0,27580,232.0,107.0,742,43.0,2000.0,1000.0,655.0,5942,5.5,Fair
3506,3507,60.0,1.0,USA,,,42402,83.0,27.0,0,,787.0,485.0,346.0,2352,7.7,Good
4001,4002,94.0,1.0,USA,,,4790,52.0,33.0,804,47.0,430.0,209.0,108.0,836,4.8,Fair
4952,4953,120.0,1.0,USA,10000000.0,,1197,8.0,21.0,0,664.0,990.0,664.0,400.0,3525,5.4,Fair
